tweet_id,date_time,favorites,followers,friends,retweets
887101392804085760,Tue Jul 18 00:07:08 +0000 2017,27707,9012343,18,5164
886983233522544640,Mon Jul 17 16:17:36 +0000 2017,31350,9012343,18,6612
886736880519319552,Sun Jul 16 23:58:41 +0000 2017,10794,9012343,18,2741
886680336477933568,Sun Jul 16 20:14:00 +0000 2017,20316,9012343,18,3877
886366144734445568,Sat Jul 15 23:25:31 +0000 2017,19082,9012343,18,2727
886267009285017600,Sat Jul 15 16:51:35 +0000 2017,105,9012343,18,3
886258384151887873,Sat Jul 15 16:17:19 +0000 2017,25270,9012343,18,5471
886054160059072513,Sat Jul 15 02:45:48 +0000 2017,0,9012343,18,95
885984800019947520,Fri Jul 14 22:10:11 +0000 2017,29404,9012343,18,5815
885528943205470208,Thu Jul 13 15:58:47 +0000 2017,32493,9012343,18,5532
885518971528720385,Thu Jul 13 15:19:09 +0000 2017,18510,9012343,18,3223
885311592912609280,Thu Jul 13 01:35:06 +0000 2017,0,9012343,18,15980
885167619883638784,Wed Jul 12 16:03:00 +0000 2017,19750,9012343,18,3787
884925521741709313,Wed Jul 12 00:01:00 +0000 2017,69316,9012343,18,15597
884876753390489601,Tue Jul 11 20:47:12 +0000 2017,25112,9012343,18,4833
884562892145688576,Tue Jul 11 00:00:02 +0000 2017,21933,9012343,18,4057
884441805382717440,Mon Jul 10 15:58:53 +0000 2017,24519,9012343,18,4943
884247878851493888,Mon Jul 10 03:08:17 +0000 2017,65298,9012343,18,17564
884162670584377345,Sun Jul 09 21:29:42 +0000 2017,18437,9012343,18,2590
883838122936631299,Sun Jul 09 00:00:04 +0000 2017,19725,9012343,18,2966
883482846933004288,Sat Jul 08 00:28:19 +0000 2017,41383,9012343,18,8571
883360690899218434,Fri Jul 07 16:22:55 +0000 2017,20495,9012343,18,3190
883117836046086144,Fri Jul 07 00:17:54 +0000 2017,33505,9012343,18,5736
882992080364220416,Thu Jul 06 15:58:11 +0000 2017,21582,9012343,18,3348
882762694511734784,Thu Jul 06 00:46:41 +0000 2017,25507,9012343,18,4239
882627270321602560,Wed Jul 05 15:48:34 +0000 2017,25313,9012343,18,5254
882268110199369728,Tue Jul 04 16:01:23 +0000 2017,40411,9012343,18,10033
882045870035918850,Tue Jul 04 01:18:17 +0000 2017,26479,9012343,18,4216
881906580714921986,Mon Jul 03 16:04:48 +0000 2017,22038,9012343,18,2950
881666595344535552,Mon Jul 03 00:11:11 +0000 2017,45820,9012343,18,9255
881633300179243008,Sun Jul 02 21:58:53 +0000 2017,113,9012343,18,8
881536004380872706,Sun Jul 02 15:32:16 +0000 2017,44716,9012343,18,13879
881268444196462592,Sat Jul 01 21:49:04 +0000 2017,21062,9012343,18,4615
880935762899988482,Fri Jun 30 23:47:07 +0000 2017,15472,9012343,18,2424
880872448815771648,Fri Jun 30 19:35:32 +0000 2017,19253,9012343,18,3311
880465832366813184,Thu Jun 29 16:39:47 +0000 2017,25694,9012343,18,5400
880221127280381952,Thu Jun 29 00:27:25 +0000 2017,24365,9012343,18,3604
880095782870896641,Wed Jun 28 16:09:20 +0000 2017,24981,9012343,18,3772
879862464715927552,Wed Jun 28 00:42:13 +0000 2017,20266,9012343,18,3025
879674319642796034,Tue Jun 27 12:14:36 +0000 2017,285,9012343,18,9
879492040517615616,Tue Jun 27 00:10:17 +0000 2017,21280,9012343,18,2744
879415818425184262,Mon Jun 26 19:07:24 +0000 2017,95538,9012343,18,38696
879376492567855104,Mon Jun 26 16:31:08 +0000 2017,15251,9012343,18,2721
879130579576475649,Mon Jun 26 00:13:58 +0000 2017,0,9012343,18,5930
879050749262655488,Sun Jun 25 18:56:45 +0000 2017,20394,9012343,18,4084
879008229531029506,Sun Jun 25 16:07:47 +0000 2017,17211,9012343,18,2329
878776093423087618,Sun Jun 25 00:45:22 +0000 2017,17573,9012343,18,3569
878604707211726852,Sat Jun 24 13:24:20 +0000 2017,27168,9012343,18,6135
878404777348136964,Sat Jun 24 00:09:53 +0000 2017,0,9012343,18,1106
878316110768087041,Fri Jun 23 18:17:33 +0000 2017,0,9012343,18,5740
878281511006478336,Fri Jun 23 16:00:04 +0000 2017,6998,9012193,18,1108
878057613040115712,Fri Jun 23 01:10:23 +0000 2017,38133,9012343,18,5930
877736472329191424,Thu Jun 22 03:54:17 +0000 2017,71506,9012193,18,16423
877611172832227328,Wed Jun 21 19:36:23 +0000 2017,0,9012343,18,70
877556246731214848,Wed Jun 21 15:58:08 +0000 2017,20524,9012343,18,3292
877316821321428993,Wed Jun 21 00:06:44 +0000 2017,24858,9012343,18,4523
877201837425926144,Tue Jun 20 16:29:50 +0000 2017,24525,9012343,18,4825
876838120628539392,Mon Jun 19 16:24:33 +0000 2017,18752,9012343,18,2902
876537666061221889,Sun Jun 18 20:30:39 +0000 2017,21566,9012343,18,4105
876484053909872640,Sun Jun 18 16:57:37 +0000 2017,17030,9012343,18,2065
876120275196170240,Sat Jun 17 16:52:05 +0000 2017,25385,9012343,18,4051
875747767867523072,Fri Jun 16 16:11:53 +0000 2017,22800,9012343,18,3725
875144289856114688,Thu Jun 15 00:13:52 +0000 2017,19914,9012343,18,4271
875097192612077568,Wed Jun 14 21:06:43 +0000 2017,24920,9012343,18,5309
875021211251597312,Wed Jun 14 16:04:48 +0000 2017,23177,9012343,18,4114
874680097055178752,Tue Jun 13 17:29:20 +0000 2017,25256,9012343,18,4054
874434818259525634,Tue Jun 13 01:14:41 +0000 2017,0,9012343,18,12662
874296783580663808,Mon Jun 12 16:06:11 +0000 2017,23684,9012343,18,3613
874057562936811520,Mon Jun 12 00:15:36 +0000 2017,20684,9012343,18,3487
874012996292530176,Sun Jun 11 21:18:31 +0000 2017,31008,9012343,18,8904
873580283840344065,Sat Jun 10 16:39:04 +0000 2017,22035,9012343,18,3438
873337748698140672,Sat Jun 10 00:35:19 +0000 2017,0,9012343,18,1381
873213775632977920,Fri Jun 09 16:22:42 +0000 2017,6512,9012343,18,1381
872967104147763200,Fri Jun 09 00:02:31 +0000 2017,24765,9012343,18,4721
